sl_no,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
470,72.88,Central,70.49,Central,Commerce,55.73,Others,Yes,90.24,Mkt&Fin,51.71,Not Placed,
471,68.18,Others,60.61,Others,Commerce,88.15,Comm&Mgmt,No,63.29,Mkt&Fin,75.48,Placed,629886.0
472,71.34,Central,93.47,Central,Commerce,55.8,Others,Yes,75.22,Mkt&Fin,56.0,Placed,639079.0
473,55.36,Central,81.66,Others,Science,70.88,Others,No,97.52,Mkt&Fin,71.0,Placed,627092.0
474,56.03,Central,63.45,Central,Arts,57.88,Others,Yes,72.97,Mkt&HR,50.56,Not Placed,
475,62.51,Central,53.74,Central,Commerce,53.05,Sci&Tech,No,46.67,Mkt&Fin,81.2,Not Placed,
476,63.71,Central,55.98,Others,Commerce,58.09,Sci&Tech,Yes,42.63,Mkt&Fin,85.98,Placed,575174.0
477,69.26,Others,68.2,Central,Commerce,52.19,Comm&Mgmt,Yes,85.84,Mkt&Fin,83.56,Placed,640300.0
478,77.49,Central,92.13,Others,Science,55.58,Sci&Tech,No,64.57,Mkt&HR,88.33,Placed,509139.0
479,78.56,Central,81.71,Central,Arts,69.74,Sci&Tech,No,54.32,Mkt&HR,86.12,Placed,567782.0
480,68.53,Central,55.76,Others,Commerce,76.07,Comm&Mgmt,No,60.16,Mkt&Fin,67.76,Placed,582581.0
481,68.4,Others,87.98,Others,Science,53.49,Comm&Mgmt,Yes,83.93,Mkt&Fin,65.93,Placed,655899.0
482,59.79,Others,63.91,Central,Arts,67.64,Sci&Tech,Yes,66.98,Mkt&Fin,85.85,Placed,645823.0
483,76.47,Central,87.59,Central,Arts,73.25,Sci&Tech,No,90.37,Mkt&HR,87.08,Placed,642547.0
484,64.27,Central,57.08,Others,Science,59.37,Sci&Tech,No,82.63,Mkt&HR,88.91,Placed,575608.0
485,51.62,Central,75.93,Others,Arts,64.88,Comm&Mgmt,No,96.49,Mkt&HR,80.73,Placed,613360.0
486,68.83,Central,91.33,Central,Arts,52.87,Others,No,91.53,Mkt&Fin,58.08,Placed,564968.0
487,71.34,Central,57.89,Central,Arts,58.81,Comm&Mgmt,No,54.76,Mkt&Fin,87.8,Placed,513578.0
488,60.15,Central,79.65,Others,Commerce,68.67,Sci&Tech,Yes,78.23,Mkt&Fin,87.89,Placed,704453.0
489,75.76,Others,94.37,Others,Commerce,89.62,Comm&Mgmt,No,41.19,Mkt&HR,76.65,Placed,587246.0
490,75.46,Central,52.53,Central,Commerce,89.85,Sci&Tech,No,97.48,Mkt&HR,84.29,Placed,688759.0
491,81.59,Central,49.42,Central,Arts,89.18,Sci&Tech,Yes,55.14,Mkt&Fin,72.45,Placed,711201.0
492,79.16,Central,78.71,Others,Science,66.92,Sci&Tech,No,78.56,Mkt&Fin,87.77,Placed,604370.0
493,79.36,Others,61.99,Central,Commerce,53.23,Comm&Mgmt,Yes,89.25,Mkt&HR,53.76,Placed,654502.0
494,64.23,Others,48.56,Central,Science,62.94,Comm&Mgmt,Yes,49.31,Mkt&Fin,84.56,Placed,632463.0
495,85.43,Central,68.77,Others,Commerce,59.51,Comm&Mgmt,No,89.18,Mkt&HR,52.22,Not Placed,
496,74.71,Central,82.69,Central,Arts,50.57,Comm&Mgmt,Yes,40.71,Mkt&HR,63.56,Not Placed,
497,69.41,Others,59.26,Others,Science,53.81,Comm&Mgmt,No,65.63,Mkt&Fin,55.41,Placed,541037.0
498,78.17,Others,61.75,Central,Arts,68.13,Others,Yes,67.38,Mkt&Fin,69.17,Placed,673458.0
499,66.23,Central,87.28,Others,Commerce,63.59,Others,Yes,61.7,Mkt&Fin,59.29,Placed,633466.0
500,73.07,Others,71.0,Central,Science,57.21,Sci&Tech,Yes,74.01,Mkt&Fin,88.08,Placed,630381.0
501,83.15,Others,87.14,Others,Commerce,78.64,Others,Yes,93.06,Mkt&Fin,72.37,Placed,767829.0
502,89.89,Central,67.32,Central,Arts,64.28,Sci&Tech,No,58.97,Mkt&Fin,85.91,Placed,551945.0
503,91.45,Others,92.65,Central,Science,84.07,Sci&Tech,Yes,73.6,Mkt&Fin,61.12,Placed,701634.0
504,72.66,Central,77.54,Others,Science,59.64,Comm&Mgmt,No,90.89,Mkt&Fin,51.04,Placed,592486.0
505,73.41,Central,50.79,Others,Science,71.54,Sci&Tech,No,84.83,Mkt&HR,81.03,Placed,590010.0
506,85.99,Central,89.25,Others,Commerce,57.37,Comm&Mgmt,No,42.36,Mkt&Fin,78.1,Placed,471535.0
507,64.15,Central,69.46,Central,Arts,69.81,Sci&Tech,Yes,94.68,Mkt&HR,71.82,Placed,727190.0
508,87.68,Others,52.08,Central,Science,56.1,Comm&Mgmt,No,42.71,Mkt&Fin,82.61,Placed,466176.0
509,72.24,Central,52.63,Others,Arts,56.46,Others,No,74.15,Mkt&Fin,83.6,Placed,543304.0
510,55.21,Central,79.38,Others,Commerce,74.49,Others,No,73.37,Mkt&Fin,73.52,Placed,591687.0
511,53.24,Central,47.37,Central,Commerce,60.55,Sci&Tech,Yes,85.61,Mkt&Fin,88.64,Not Placed,
512,87.89,Others,59.33,Others,Arts,56.89,Comm&Mgmt,No,48.61,Mkt&HR,78.79,Placed,507926.0
513,52.5,Others,51.99,Others,Commerce,87.19,Comm&Mgmt,No,50.4,Mkt&HR,77.08,Placed,570129.0
514,62.63,Others,67.05,Others,Commerce,51.72,Comm&Mgmt,Yes,83.62,Mkt&HR,64.46,Not Placed,
515,65.04,Central,65.72,Others,Arts,72.61,Comm&Mgmt,Yes,48.67,Mkt&HR,50.09,Placed,626288.0
516,57.78,Others,71.09,Others,Commerce,71.93,Others,No,67.23,Mkt&Fin,59.64,Not Placed,
517,64.13,Others,58.98,Others,Commerce,60.02,Comm&Mgmt,Yes,82.44,Mkt&Fin,80.56,Placed,667261.0
518,83.42,Others,46.6,Others,Science,68.11,Sci&Tech,Yes,77.77,Mkt&Fin,78.39,Placed,674984.0
519,50.66,Central,75.72,Others,Commerce,53.51,Others,Yes,52.22,Mkt&HR,63.24,Placed,574196.0
520,87.22,Others,63.69,Others,Commerce,78.85,Others,No,57.63,Mkt&HR,75.02,Placed,572951.0
521,88.54,Central,77.57,Central,Commerce,58.87,Sci&Tech,No,96.2,Mkt&Fin,57.81,Placed,612452.0
522,66.75,Central,50.43,Others,Commerce,57.74,Comm&Mgmt,Yes,66.02,Mkt&Fin,60.55,Not Placed,
523,56.91,Central,45.69,Others,Commerce,62.6,Others,No,42.58,Mkt&HR,87.9,Not Placed,
524,77.04,Central,57.41,Others,Arts,86.09,Comm&Mgmt,No,52.74,Mkt&Fin,66.53,Placed,571226.0
525,55.39,Central,67.83,Others,Commerce,81.86,Comm&Mgmt,Yes,59.86,Mkt&Fin,59.8,Placed,669091.0
526,66.42,Central,64.7,Central,Commerce,87.88,Others,No,97.97,Mkt&Fin,69.48,Placed,676344.0
527,93.13,Central,85.52,Others,Commerce,76.08,Others,Yes,57.56,Mkt&HR,65.48,Placed,682081.0
528,94.8,Others,63.89,Central,Science,76.52,Comm&Mgmt,Yes,41.53,Mkt&HR,79.18,Placed,656899.0
529,84.74,Central,71.52,Central,Arts,69.2,Sci&Tech,No,69.75,Mkt&Fin,88.48,Placed,552187.0
530,63.99,Others,74.68,Central,Science,86.21,Comm&Mgmt,No,44.85,Mkt&Fin,73.67,Placed,572156.0
531,80.94,Others,46.09,Others,Commerce,70.44,Others,Yes,55.9,Mkt&HR,73.65,Placed,642945.0
532,81.74,Others,70.76,Others,Commerce,64.2,Sci&Tech,No,97.56,Mkt&HR,64.59,Placed,624927.0
533,67.45,Others,62.24,Others,Science,75.62,Comm&Mgmt,No,80.87,Mkt&Fin,72.59,Placed,598875.0
534,78.84,Central,66.06,Central,Commerce,71.85,Comm&Mgmt,Yes,42.94,Mkt&HR,62.77,Placed,625667.0
535,50.48,Others,50.01,Central,Arts,54.96,Sci&Tech,No,66.02,Mkt&HR,50.04,Not Placed,
536,59.41,Others,84.14,Others,Arts,65.71,Comm&Mgmt,No,49.95,Mkt&Fin,84.64,Not Placed,
537,73.63,Central,92.12,Central,Science,62.53,Others,Yes,47.13,Mkt&HR,67.18,Placed,620913.0
538,57.37,Central,46.11,Others,Arts,83.87,Sci&Tech,No,74.05,Mkt&Fin,69.68,Placed,630806.0
539,57.47,Others,75.07,Others,Commerce,65.15,Comm&Mgmt,No,69.33,Mkt&Fin,53.34,Placed,563980.0
540,87.63,Central,83.19,Others,Commerce,82.86,Others,Yes,83.09,Mkt&HR,83.48,Placed,727728.0
541,94.51,Central,59.24,Central,Arts,67.7,Sci&Tech,No,91.75,Mkt&HR,56.81,Placed,636224.0
542,75.02,Others,84.38,Central,Arts,80.14,Comm&Mgmt,No,54.31,Mkt&Fin,66.42,Placed,561530.0
543,87.76,Others,76.62,Central,Commerce,55.41,Sci&Tech,No,93.53,Mkt&Fin,83.61,Placed,599839.0
544,94.56,Central,91.46,Others,Science,86.99,Comm&Mgmt,No,70.04,Mkt&Fin,68.31,Placed,650516.0
545,56.37,Others,94.05,Central,Commerce,69.22,Comm&Mgmt,No,55.01,Mkt&HR,87.25,Placed,543249.0
546,70.17,Central,47.12,Others,Science,60.39,Sci&Tech,Yes,89.06,Mkt&HR,58.37,Placed,702739.0
547,67.67,Others,67.25,Central,Arts,59.66,Sci&Tech,No,42.06,Mkt&Fin,78.61,Not Placed,
548,53.6,Others,72.35,Central,Arts,60.6,Comm&Mgmt,No,72.45,Mkt&HR,89.12,Placed,563587.0
549,83.99,Central,52.34,Central,Science,64.67,Others,No,81.85,Mkt&Fin,71.98,Placed,561135.0
550,69.52,Central,61.81,Others,Arts,78.7,Sci&Tech,No,56.24,Mkt&Fin,77.69,Placed,555437.0
551,71.12,Others,94.38,Others,Science,87.98,Others,Yes,90.08,Mkt&HR,65.73,Placed,747580.0
552,56.78,Central,45.81,Central,Arts,76.76,Sci&Tech,Yes,53.94,Mkt&Fin,80.05,Placed,639671.0
553,58.14,Central,67.63,Others,Commerce,71.89,Comm&Mgmt,No,88.71,Mkt&HR,86.35,Placed,634888.0
554,90.82,Central,87.13,Others,Science,67.94,Comm&Mgmt,Yes,44.56,Mkt&HR,78.12,Placed,601710.0
555,52.01,Others,61.2,Others,Science,83.13,Comm&Mgmt,No,49.28,Mkt&HR,87.44,Not Placed,
556,60.48,Central,68.99,Others,Science,83.99,Sci&Tech,No,62.1,Mkt&Fin,73.55,Placed,623055.0
557,63.14,Others,93.9,Central,Commerce,61.72,Others,Yes,89.54,Mkt&Fin,73.09,Placed,678177.0
558,72.06,Others,68.74,Central,Commerce,88.14,Sci&Tech,Yes,48.39,Mkt&Fin,62.19,Placed,702014.0
559,76.39,Central,51.55,Others,Arts,65.8,Others,No,90.78,Mkt&HR,78.39,Placed,626986.0
560,72.2,Others,47.59,Central,Commerce,82.0,Comm&Mgmt,Yes,53.32,Mkt&Fin,85.28,Placed,678793.0
561,53.79,Others,92.27,Central,Science,88.67,Comm&Mgmt,No,66.25,Mkt&HR,75.85,Placed,644846.0
562,60.97,Central,58.29,Central,Science,78.15,Sci&Tech,No,60.46,Mkt&Fin,59.32,Placed,603809.0
563,87.96,Others,70.2,Others,Science,56.46,Comm&Mgmt,Yes,46.85,Mkt&HR,71.76,Placed,570294.0
564,78.69,Central,49.54,Central,Commerce,73.45,Others,Yes,94.77,Mkt&HR,80.24,Placed,717219.0
565,79.21,Central,66.18,Central,Commerce,54.75,Others,No,65.41,Mkt&Fin,87.57,Placed,513566.0
566,80.16,Central,91.51,Others,Commerce,81.57,Others,Yes,80.04,Mkt&HR,56.26,Placed,732746.0
567,84.33,Others,70.12,Central,Commerce,61.25,Sci&Tech,No,73.37,Mkt&Fin,55.1,Placed,569791.0
568,52.61,Others,93.56,Central,Commerce,77.81,Comm&Mgmt,Yes,69.1,Mkt&HR,66.52,Placed,680791.0
569,66.5,Central,57.94,Central,Commerce,86.4,Comm&Mgmt,Yes,75.76,Mkt&HR,55.02,Placed,720390.0
570,74.28,Others,70.23,Central,Commerce,57.24,Others,No,92.1,Mkt&Fin,89.22,Placed,571241.0
571,65.23,Others,87.98,Others,Arts,65.71,Others,Yes,80.56,Mkt&HR,66.97,Placed,671818.0
572,88.0,Others,67.41,Others,Science,75.88,Others,Yes,70.88,Mkt&Fin,71.34,Placed,716406.0
573,71.72,Others,58.97,Central,Commerce,66.79,Sci&Tech,No,77.42,Mkt&HR,59.08,Placed,575009.0
574,84.59,Central,87.77,Others,Science,56.99,Sci&Tech,No,75.17,Mkt&Fin,67.97,Placed,564723.0
575,88.34,Others,64.49,Others,Commerce,51.16,Others,Yes,65.12,Mkt&Fin,89.39,Placed,586514.0
576,72.72,Central,71.54,Others,Science,66.26,Others,Yes,76.24,Mkt&HR,69.55,Placed,656349.0
577,90.93,Central,93.83,Others,Commerce,75.97,Comm&Mgmt,No,65.73,Mkt&HR,50.35,Placed,599550.0
578,76.42,Central,54.32,Others,Commerce,72.96,Sci&Tech,No,83.94,Mkt&Fin,59.7,Placed,599236.0
579,88.26,Others,60.07,Central,Commerce,56.25,Sci&Tech,No,96.2,Mkt&Fin,89.14,Placed,565281.0
580,65.33,Others,46.55,Central,Science,68.03,Others,No,95.67,Mkt&HR,89.56,Placed,625155.0
581,72.45,Central,64.59,Others,Science,64.78,Comm&Mgmt,No,87.6,Mkt&HR,58.42,Placed,576904.0
582,73.91,Central,55.01,Others,Science,60.97,Comm&Mgmt,No,74.9,Mkt&HR,74.61,Placed,535777.0
583,54.72,Central,79.0,Others,Science,79.17,Others,Yes,83.46,Mkt&HR,53.08,Placed,724735.0
584,67.93,Others,54.07,Central,Arts,62.39,Sci&Tech,No,50.33,Mkt&HR,73.1,Placed,515334.0
585,91.28,Central,78.74,Central,Arts,71.61,Others,No,67.78,Mkt&HR,55.04,Not Placed,
586,78.39,Others,58.17,Others,Science,86.93,Sci&Tech,No,54.92,Mkt&Fin,82.75,Placed,599854.0
587,57.99,Central,62.76,Central,Science,71.57,Others,No,40.2,Mkt&Fin,87.58,Placed,496290.0
588,65.25,Central,62.44,Others,Science,74.68,Others,Yes,96.07,Mkt&HR,56.92,Placed,730728.0
589,58.62,Others,80.84,Others,Commerce,52.93,Comm&Mgmt,No,90.1,Mkt&Fin,68.51,Placed,556163.0
590,51.12,Central,68.33,Others,Science,57.13,Sci&Tech,No,69.79,Mkt&Fin,54.08,Not Placed,
591,91.74,Central,63.06,Central,Commerce,54.04,Sci&Tech,No,54.74,Mkt&Fin,63.57,Not Placed,
592,70.17,Central,87.63,Others,Arts,80.59,Sci&Tech,No,80.19,Mkt&Fin,52.6,Placed,613603.0
593,63.84,Others,73.6,Others,Science,83.44,Others,No,65.22,Mkt&Fin,60.58,Placed,612359.0
594,76.93,Central,55.69,Others,Arts,57.46,Sci&Tech,Yes,86.59,Mkt&Fin,89.61,Placed,692343.0
595,50.33,Central,90.0,Others,Arts,58.77,Comm&Mgmt,No,97.97,Mkt&HR,51.78,Not Placed,
596,62.51,Central,62.13,Central,Science,62.93,Comm&Mgmt,No,60.25,Mkt&HR,84.36,Placed,528733.0
597,81.64,Others,46.95,Others,Arts,73.64,Others,No,54.18,Mkt&Fin,53.1,Placed,551015.0
598,78.52,Others,69.73,Others,Science,74.87,Others,No,55.51,Mkt&Fin,71.16,Placed,564893.0
599,94.18,Others,51.2,Others,Commerce,77.47,Comm&Mgmt,No,45.41,Mkt&HR,68.08,Placed,559428.0
600,77.92,Central,56.92,Others,Commerce,86.21,Others,No,62.85,Mkt&Fin,87.26,Placed,599407.0
601,71.49,Others,82.36,Central,Commerce,61.8,Comm&Mgmt,No,41.01,Mkt&HR,57.96,Not Placed,
602,84.26,Central,51.54,Others,Arts,76.35,Comm&Mgmt,Yes,46.63,Mkt&HR,57.19,Placed,657442.0
603,90.65,Others,85.35,Central,Science,72.39,Sci&Tech,No,55.76,Mkt&Fin,79.95,Placed,561767.0
604,82.43,Others,91.85,Central,Commerce,62.23,Sci&Tech,No,49.27,Mkt&Fin,79.03,Not Placed,
605,93.34,Others,75.33,Others,Science,86.3,Comm&Mgmt,No,82.47,Mkt&HR,77.97,Placed,655167.0
606,85.19,Others,80.52,Central,Commerce,53.82,Sci&Tech,No,46.13,Mkt&Fin,51.05,Not Placed,
607,89.01,Others,80.68,Central,Arts,78.48,Sci&Tech,Yes,90.23,Mkt&Fin,60.4,Placed,748054.0
608,55.13,Central,94.64,Others,Arts,79.11,Comm&Mgmt,No,52.82,Mkt&HR,83.6,Placed,580184.0
609,82.96,Others,62.08,Others,Commerce,86.61,Comm&Mgmt,No,46.3,Mkt&HR,74.03,Placed,553205.0
610,69.8,Others,53.14,Central,Arts,70.74,Others,No,40.59,Mkt&Fin,74.09,Placed,529732.0
611,74.89,Others,70.96,Central,Science,62.86,Others,Yes,81.48,Mkt&Fin,61.84,Placed,657562.0
612,79.43,Others,71.66,Central,Commerce,83.11,Others,No,54.88,Mkt&HR,60.41,Placed,572340.0
613,93.64,Central,53.9,Others,Arts,80.83,Sci&Tech,Yes,69.55,Mkt&HR,87.86,Placed,716832.0
614,94.31,Others,75.66,Central,Commerce,70.01,Comm&Mgmt,No,46.47,Mkt&HR,79.11,Placed,520722.0
615,62.97,Central,45.71,Others,Commerce,80.71,Others,No,97.15,Mkt&Fin,55.07,Placed,685280.0
616,83.02,Others,91.38,Others,Commerce,60.72,Comm&Mgmt,Yes,47.27,Mkt&Fin,87.51,Placed,624563.0
617,83.75,Others,58.23,Others,Science,73.58,Comm&Mgmt,No,63.89,Mkt&Fin,73.29,Placed,597865.0
618,65.59,Central,46.98,Central,Science,84.61,Comm&Mgmt,No,89.4,Mkt&HR,63.33,Placed,637846.0
619,55.57,Others,50.41,Others,Commerce,62.72,Comm&Mgmt,No,54.2,Mkt&HR,65.89,Not Placed,
620,51.84,Others,57.01,Central,Commerce,69.34,Comm&Mgmt,Yes,55.48,Mkt&HR,79.02,Placed,628137.0
621,84.98,Others,58.7,Central,Commerce,88.04,Sci&Tech,No,86.89,Mkt&HR,65.05,Placed,667167.0
622,72.04,Central,46.64,Central,Arts,81.93,Comm&Mgmt,Yes,55.85,Mkt&HR,73.15,Placed,678991.0
623,94.35,Central,58.97,Central,Arts,85.48,Sci&Tech,No,40.17,Mkt&Fin,78.42,Placed,574072.0
624,70.92,Others,54.65,Others,Arts,65.41,Others,No,64.82,Mkt&HR,57.81,Not Placed,
625,94.01,Others,63.93,Central,Science,89.86,Others,Yes,40.73,Mkt&HR,87.77,Placed,661027.0
626,68.52,Others,64.26,Others,Science,56.1,Comm&Mgmt,No,92.77,Mkt&HR,64.25,Placed,586290.0
627,85.72,Others,61.95,Central,Arts,70.75,Comm&Mgmt,No,77.23,Mkt&Fin,66.77,Placed,597573.0
628,53.82,Central,61.4,Central,Science,69.17,Others,No,73.81,Mkt&Fin,77.94,Placed,589660.0
629,75.0,Others,49.49,Central,Science,81.94,Comm&Mgmt,Yes,51.69,Mkt&HR,74.35,Placed,664803.0
630,86.09,Central,46.26,Central,Commerce,86.34,Comm&Mgmt,Yes,80.6,Mkt&HR,67.6,Placed,746539.0
631,91.61,Others,55.11,Central,Science,79.25,Sci&Tech,No,79.28,Mkt&Fin,75.99,Placed,642727.0
632,87.02,Others,82.83,Others,Commerce,75.07,Sci&Tech,Yes,43.51,Mkt&HR,86.11,Placed,642788.0
633,51.66,Others,94.54,Others,Commerce,67.1,Sci&Tech,No,91.09,Mkt&Fin,82.01,Placed,630103.0
634,66.77,Others,91.43,Central,Arts,70.41,Sci&Tech,Yes,73.61,Mkt&Fin,82.97,Placed,680121.0
635,52.19,Central,70.21,Others,Arts,70.37,Others,Yes,85.96,Mkt&HR,60.34,Placed,685272.0
636,54.92,Central,71.59,Others,Commerce,50.81,Comm&Mgmt,No,55.25,Mkt&Fin,66.78,Not Placed,
637,80.39,Central,60.73,Central,Commerce,70.12,Others,Yes,47.08,Mkt&HR,72.15,Placed,627542.0
638,82.1,Others,83.7,Central,Commerce,84.24,Comm&Mgmt,No,80.74,Mkt&HR,51.77,Placed,616303.0
639,84.82,Central,83.24,Central,Arts,78.37,Others,Yes,86.05,Mkt&Fin,80.79,Placed,714146.0
640,88.95,Others,87.21,Others,Commerce,81.83,Comm&Mgmt,No,62.39,Mkt&HR,62.94,Placed,585914.0
641,83.27,Central,89.78,Others,Commerce,65.62,Comm&Mgmt,No,41.37,Mkt&HR,61.3,Placed,489149.0
642,86.04,Central,66.72,Central,Commerce,71.16,Others,No,87.46,Mkt&HR,60.37,Placed,622621.0
643,52.2,Central,83.34,Others,Arts,51.34,Comm&Mgmt,No,51.95,Mkt&Fin,61.34,Not Placed,
644,60.55,Central,85.32,Others,Science,65.32,Sci&Tech,No,59.66,Mkt&HR,63.52,Placed,531761.0
645,77.99,Central,60.42,Others,Arts,68.98,Comm&Mgmt,No,76.44,Mkt&HR,74.19,Placed,564052.0
646,88.62,Central,91.46,Central,Arts,60.21,Comm&Mgmt,Yes,45.8,Mkt&HR,73.34,Placed,576156.0
647,50.2,Others,49.72,Others,Commerce,51.25,Comm&Mgmt,No,44.18,Mkt&Fin,60.23,Not Placed,
648,73.16,Others,94.71,Others,Arts,77.62,Others,Yes,41.49,Mkt&Fin,58.26,Placed,633090.0
649,80.48,Others,83.5,Others,Science,67.4,Others,No,93.17,Mkt&Fin,83.05,Placed,593904.0
650,51.33,Central,49.66,Others,Science,66.63,Comm&Mgmt,Yes,58.06,Mkt&Fin,53.71,Not Placed,
651,68.06,Others,77.81,Others,Commerce,60.0,Sci&Tech,No,78.32,Mkt&Fin,70.51,Placed,580138.0
652,90.3,Others,46.71,Others,Arts,71.51,Comm&Mgmt,No,97.38,Mkt&HR,70.82,Placed,615389.0
653,80.22,Others,83.51,Central,Arts,67.52,Others,No,78.83,Mkt&HR,72.97,Placed,607466.0
654,60.69,Central,84.96,Central,Science,68.96,Sci&Tech,No,70.46,Mkt&Fin,85.43,Placed,584030.0
655,88.38,Others,75.12,Central,Commerce,73.23,Others,Yes,70.21,Mkt&HR,74.96,Placed,672711.0
656,65.66,Others,87.84,Central,Arts,50.25,Comm&Mgmt,Yes,61.86,Mkt&HR,88.95,Placed,613242.0
657,88.4,Central,49.89,Others,Arts,86.31,Others,No,74.79,Mkt&HR,84.85,Placed,629507.0
658,63.45,Central,58.8,Others,Science,52.84,Others,No,95.61,Mkt&HR,58.59,Placed,581505.0
659,76.56,Others,65.71,Others,Science,68.04,Others,Yes,85.71,Mkt&Fin,59.65,Placed,681885.0
660,67.86,Central,47.12,Others,Commerce,58.29,Others,No,64.61,Mkt&HR,63.79,Not Placed,
661,62.37,Central,67.41,Central,Commerce,70.95,Sci&Tech,No,59.28,Mkt&Fin,65.66,Placed,570081.0
662,89.9,Others,58.26,Central,Arts,61.21,Comm&Mgmt,Yes,91.24,Mkt&HR,72.12,Placed,706374.0
663,58.44,Central,64.64,Others,Science,84.4,Sci&Tech,No,47.88,Mkt&HR,59.3,Placed,549506.0
664,53.82,Central,66.26,Central,Commerce,65.85,Sci&Tech,Yes,89.28,Mkt&Fin,58.89,Placed,686831.0
665,65.39,Central,88.97,Others,Arts,75.55,Sci&Tech,Yes,54.79,Mkt&HR,65.26,Placed,666606.0
666,82.29,Others,58.52,Central,Commerce,59.96,Others,No,81.51,Mkt&HR,76.88,Placed,588191.0
667,86.33,Central,89.69,Central,Commerce,50.78,Comm&Mgmt,Yes,86.76,Mkt&HR,77.53,Placed,659574.0
668,94.94,Others,66.3,Others,Commerce,66.17,Others,No,67.67,Mkt&Fin,89.04,Placed,569182.0
669,63.34,Central,61.39,Others,Science,71.46,Sci&Tech,No,51.15,Mkt&Fin,58.1,Placed,536111.0
670,68.36,Others,70.13,Others,Science,68.38,Sci&Tech,No,89.0,Mkt&HR,65.71,Placed,585875.0
671,56.16,Others,65.89,Central,Commerce,88.48,Others,No,61.32,Mkt&Fin,88.59,Placed,626375.0
672,75.87,Others,57.87,Others,Science,78.27,Others,No,58.6,Mkt&Fin,77.6,Placed,591974.0
673,94.89,Others,70.13,Others,Science,89.83,Others,No,69.58,Mkt&HR,73.69,Placed,630814.0
674,81.54,Central,52.59,Others,Science,61.8,Sci&Tech,No,65.24,Mkt&Fin,71.59,Placed,541200.0
675,76.78,Others,62.6,Central,Science,81.56,Comm&Mgmt,No,79.62,Mkt&Fin,53.02,Placed,615672.0
676,67.66,Others,73.29,Central,Arts,72.22,Sci&Tech,No,47.96,Mkt&HR,85.73,Placed,535212.0
677,91.19,Others,65.67,Others,Arts,74.47,Others,Yes,65.27,Mkt&HR,75.02,Placed,666046.0
678,72.36,Others,86.2,Central,Commerce,89.43,Sci&Tech,No,91.72,Mkt&HR,72.87,Placed,672755.0
679,56.05,Others,57.84,Others,Arts,76.16,Others,No,42.09,Mkt&Fin,71.58,Placed,519362.0
680,66.44,Central,93.49,Central,Science,85.95,Sci&Tech,No,66.53,Mkt&Fin,65.68,Placed,621241.0
681,53.02,Central,84.24,Central,Commerce,79.03,Sci&Tech,No,78.31,Mkt&HR,60.19,Placed,606086.0
682,59.09,Central,93.38,Others,Science,55.1,Others,No,91.49,Mkt&Fin,80.21,Placed,584508.0
683,50.8,Central,86.91,Central,Arts,77.98,Comm&Mgmt,Yes,74.44,Mkt&HR,70.38,Placed,708707.0
684,70.4,Others,52.11,Central,Arts,69.37,Comm&Mgmt,No,87.82,Mkt&HR,51.36,Placed,628548.0
685,78.55,Others,71.32,Others,Science,86.75,Comm&Mgmt,No,52.92,Mkt&Fin,65.96,Placed,577148.0
686,65.45,Central,53.5,Central,Commerce,82.27,Sci&Tech,Yes,60.46,Mkt&Fin,87.14,Placed,681377.0
687,68.92,Central,85.91,Others,Commerce,54.17,Others,Yes,94.64,Mkt&HR,64.96,Placed,663942.0
688,93.16,Others,74.21,Central,Commerce,55.36,Comm&Mgmt,Yes,91.39,Mkt&HR,66.53,Placed,680398.0
689,83.84,Others,58.17,Others,Arts,52.78,Sci&Tech,No,72.36,Mkt&HR,74.96,Placed,508402.0
690,74.34,Others,91.48,Central,Science,69.73,Comm&Mgmt,No,67.58,Mkt&HR,82.07,Placed,578667.0
691,62.8,Others,50.76,Central,Science,53.23,Sci&Tech,No,66.16,Mkt&Fin,76.74,Placed,532962.0
692,90.36,Others,73.19,Others,Arts,78.95,Sci&Tech,Yes,43.41,Mkt&Fin,84.0,Placed,657409.0
693,60.58,Others,81.05,Others,Arts,72.09,Comm&Mgmt,No,91.76,Mkt&HR,54.56,Placed,606523.0
694,64.64,Central,47.94,Central,Arts,83.44,Sci&Tech,No,87.45,Mkt&HR,86.98,Placed,649870.0
695,90.91,Others,74.89,Others,Commerce,61.19,Sci&Tech,No,66.46,Mkt&Fin,86.16,Placed,543163.0
696,73.83,Central,85.8,Central,Science,70.77,Comm&Mgmt,Yes,56.21,Mkt&HR,70.77,Placed,644281.0
697,83.4,Central,48.38,Central,Arts,54.7,Comm&Mgmt,Yes,59.89,Mkt&Fin,74.99,Placed,607196.0
698,76.58,Central,70.61,Others,Arts,85.38,Sci&Tech,No,47.14,Mkt&HR,58.51,Placed,588538.0
699,79.4,Central,57.93,Others,Commerce,57.0,Others,No,81.86,Mkt&HR,67.92,Placed,576450.0
700,63.47,Central,78.15,Central,Science,54.09,Others,Yes,72.29,Mkt&HR,58.11,Placed,621850.0
701,60.86,Others,50.93,Others,Arts,58.2,Sci&Tech,No,53.58,Mkt&HR,50.88,Not Placed,
702,64.51,Others,91.85,Central,Commerce,82.25,Sci&Tech,Yes,76.13,Mkt&HR,89.24,Placed,709412.0
703,56.99,Central,89.74,Central,Science,54.23,Comm&Mgmt,Yes,96.8,Mkt&Fin,60.37,Placed,676378.0
